EI,LogEI,R,Weight,n_0,n_45,EI_bin,R_bin
2346147167.710418,9.370355250797381,40.0,0.08965389150220252,2,1,"(9.368, 9.383]","(39.902, 41.96]"
2578875901.4443974,9.411430443877123,40.0,0.11361280805183357,2,2,"(9.408, 9.421]","(39.902, 41.96]"
2711084899.8112392,9.433143118075579,42.0,0.09408982032907132,2,1,"(9.421, 9.434]","(41.96, 43.92]"
2815542768.5731215,9.449562128734115,40.0,0.1377119652975209,2,3,"(9.447, 9.459]","(39.902, 41.96]"
2977993401.748664,9.473923731163866,42.0,0.1192174093458378,2,2,"(9.472, 9.485]","(41.96, 43.92]"
3103678419.902709,9.491876716549816,40.0,0.11360526822946497,3,1,"(9.485, 9.497]","(39.902, 41.96]"
3112030340.010914,9.493043822390623,44.0,0.09852574915594009,2,1,"(9.485, 9.497]","(43.92, 45.88]"
3300867380.7649913,9.518628075993758,40.0,0.18633100187706428,2,5,"(9.51, 9.523]","(39.902, 41.96]"
3249214656.482228,9.511778403572217,42.0,0.1444852390586605,2,3,"(9.51, 9.523]","(41.96, 43.92]"
3396215203.8379316,9.53099520185404,40.0,0.11024514639089147,3,1,"(9.523, 9.536]","(39.902, 41.96]"
3416302659.3425145,9.533556339025083,44.0,0.12482201063984198,2,2,"(9.523, 9.536]","(43.92, 45.88]"
3524794758.678508,9.547133834017231,42.0,0.16989330946753944,2,4,"(9.536, 9.548]","(41.96, 43.92]"
3600074820.5451126,9.556311526826235,40.0,0.16194382341689587,3,3,"(9.548, 9.561]","(39.902, 41.96]"
3585337796.014141,9.554530079399594,42.0,0.11920986952346917,3,1,"(9.548, 9.561]","(41.96, 43.92]"
3550677647.7022433,9.550311246174104,46.0,0.10296167798280889,2,1,"(9.548, 9.561]","(45.88, 47.84]"
3647560798.381377,9.562002539546018,40.0,0.13432470009842037,3,2,"(9.561, 9.574]","(39.902, 41.96]"
3725279320.1932254,9.571158841559667,44.0,0.1512585128198001,2,3,"(9.561, 9.574]","(43.92, 45.88]"
3854461603.8531656,9.585963723812345,40.0,0.18632346205469566,3,4,"(9.574, 9.586]","(39.902, 41.96]"
3804780047.362313,9.580329555461946,42.0,0.1954416205724747,2,5,"(9.574, 9.586]","(41.96, 43.92]"
3874631270.4482236,9.588230379144486,40.0,0.13769688565278365,4,1,"(9.586, 9.599]","(39.902, 41.96]"
3923059925.7740397,9.593624942142846,42.0,0.115686384866909,3,1,"(9.586, 9.599]","(41.96, 43.92]"
3895639244.6318965,9.590578732262056,46.0,0.13042661193384616,2,2,"(9.586, 9.599]","(45.88, 47.84]"
4039008453.548213,9.606274762138916,44.0,0.17783525569581446,2,4,"(9.599, 9.612]","(43.92, 45.88]"
4028720982.2780294,9.60516719043304,48.0,0.10739760680967768,2,1,"(9.599, 9.612]","(47.84, 49.8]"
4164920201.5106864,9.619606684884326,40.0,0.13431339036486745,4,1,"(9.612, 9.625]","(39.902, 41.96]"
4210447255.6493325,9.624328231309187,42.0,0.14093461104157332,3,2,"(9.612, 9.625]","(41.96, 43.92]"
4114418024.4572835,9.61430841387603,44.0,0.12481447081747336,3,1,"(9.612, 9.625]","(43.92, 45.88]"
4245713741.1252103,9.627950709368214,46.0,0.15803178658093966,2,3,"(9.625, 9.637]","(45.88, 47.84]"
4461782134.090539,9.649508360149454,40.0,0.1309369322444953,4,1,"(9.637, 9.65]","(39.902, 41.96]"
4443833581.89696,9.647757786583606,42.0,0.19543408075010604,3,4,"(9.637, 9.65]","(41.96, 43.92]"
4434858762.898565,9.646879793396492,44.0,0.15125097299743145,3,2,"(9.637, 9.65]","(43.92, 45.88]"
4417838728.022761,9.645209858025192,48.0,0.13603121322785036,2,2,"(9.637, 9.65]","(47.84, 49.8]"
4474353758.696114,9.65073031802078,42.0,0.14447015941392327,4,1,"(9.65, 9.663]","(41.96, 43.92]"
4501754086.301431,9.6533817674572,44.0,0.12112762334292652,3,1,"(9.65, 9.663]","(43.92, 45.88]"
4547854503.131073,9.65780656210671,50.0,0.11183353563654647,2,1,"(9.65, 9.663]","(49.8, 51.76]"
4731926793.3747425,9.675038017131016,40.0,0.15513712310992206,4,2,"(9.663, 9.675]","(39.902, 41.96]"
4693145635.497963,9.671464031244621,46.0,0.13041907211147755,3,1,"(9.663, 9.675]","(45.88, 47.84]"
4809603925.191404,9.682109313341336,42.0,0.1409233013080204,4,1,"(9.675, 9.688]","(41.96, 43.92]"
4828455929.178141,9.683808271818318,44.0,0.14754452198472623,3,2,"(9.675, 9.688]","(43.92, 45.88]"
