EI,R,Weight,Thickness,PlyConfig
2168504873.853246,30.0,0.2543402739018967,2.581,"[1, 3, 4, 2, 2, 2, 2, 2, 2, 2, 1]"
2144248588.7644145,30.0,0.2500055104678241,2.47,"[1, 3, 4, 2, 2, 2, 2, 2, 2, 1, 1]"
2120451314.7450547,30.0,0.24569756707412874,2.359,"[1, 3, 4, 2, 2, 2, 2, 2, 2, 0, 1]"
2107718463.1713538,30.0,0.24465989125515458,2.3590000000000004,"[1, 3, 4, 2, 2, 2, 2, 2, 1, 1, 1]"
2101711229.3878932,30.0,0.23632288027407652,2.4699999999999998,"[1, 2, 4, 2, 2, 2, 2, 2, 2, 2, 1]"
2077913955.3685334,30.0,0.23201493688038116,2.359,"[1, 2, 4, 2, 2, 2, 2, 2, 2, 1, 1]"
2065426333.1263752,30.0,0.23098396607150137,2.359,"[1, 2, 4, 2, 2, 2, 2, 2, 1, 2, 1]"
2054569864.801536,30.0,0.22773381352706332,2.2479999999999998,"[1, 2, 4, 2, 2, 2, 2, 2, 2, 0, 1]"
2036023924.4867105,30.0,0.21842617682795484,2.359,"[1, 1, 4, 2, 2, 2, 2, 2, 2, 2, 1]"
2012679833.919713,30.0,0.214145053474637,2.248,"[1, 1, 4, 2, 2, 2, 2, 2, 2, 1, 1]"
2000434271.933894,30.0,0.21312078767585158,2.248,"[1, 1, 4, 2, 2, 2, 2, 2, 1, 2, 1]"
1989783136.4191525,30.0,0.20989075016169687,2.137,"[1, 1, 4, 2, 2, 2, 2, 2, 2, 0, 1]"
1977537574.4333334,30.0,0.20886648436291144,2.137,"[1, 1, 4, 2, 2, 2, 2, 2, 1, 1, 1]"
1963334761.582791,30.0,0.20785562858431478,2.137,"[1, 1, 4, 2, 2, 2, 2, 1, 2, 1, 1]"
1955082516.8444686,30.0,0.20463900109034877,2.026,"[1, 1, 4, 2, 2, 2, 2, 2, 1, 0, 1]"
1943075866.6501474,30.0,0.2036214403016577,2.026,"[1, 1, 4, 2, 2, 2, 2, 2, 0, 1, 1]"
1928873053.7996051,30.0,0.20261058452306105,2.026,"[1, 1, 4, 2, 2, 2, 2, 1, 1, 1, 1]"
1921056733.0494218,30.0,0.19942077706947228,1.915,"[1, 1, 4, 2, 2, 2, 2, 2, 0, 0, 1]"
1906853920.1988795,30.0,0.19840992129087562,1.915,"[1, 1, 4, 2, 2, 2, 2, 1, 1, 0, 1]"
1895083053.9415772,30.0,0.19739906551227895,1.915,"[1, 1, 4, 2, 2, 2, 2, 1, 0, 1, 1]"
1881160990.4812427,30.0,0.19639491474377666,1.915,"[1, 1, 4, 2, 2, 2, 2, 0, 1, 1, 1]"
1873494165.6366172,30.0,0.193225222320471,1.804,"[1, 1, 4, 2, 2, 2, 2, 1, 0, 0, 1]"
1857616535.2736456,30.0,0.19222777656206308,1.804,"[1, 1, 4, 2, 2, 2, 1, 2, 0, 0, 1]"
1848033912.6118808,30.0,0.19121692078346642,1.804,"[1, 1, 4, 2, 2, 2, 2, 0, 0, 1, 1]"
1830049433.3884401,30.0,0.19022618003515285,1.804,"[1, 1, 4, 2, 2, 2, 1, 0, 2, 0, 1]"
1826869628.1414986,30.0,0.1870698976320362,1.693,"[1, 1, 4, 2, 2, 2, 2, 0, 0, 0, 1]"
1810991997.7785273,30.0,0.18607245187362823,1.693,"[1, 1, 4, 2, 2, 2, 1, 1, 0, 0, 1]"
1793718464.6845312,30.0,0.18508841613540905,1.693,"[1, 1, 4, 2, 2, 1, 2, 1, 0, 0, 1]"
1786038359.8483984,30.0,0.18407756035681236,1.693,"[1, 1, 4, 2, 2, 2, 1, 0, 0, 1, 1]"
1770478776.3758745,30.0,0.1830868196084988,1.693,"[1, 1, 4, 2, 2, 2, 0, 1, 0, 1, 1]"
1765293074.98259,30.0,0.1799573572457596,1.582,"[1, 1, 4, 2, 2, 2, 1, 0, 0, 0, 1]"
1736361778.634528,30.0,0.17797587574913246,1.582,"[1, 1, 4, 2, 2, 2, 0, 0, 1, 0, 1]"
1715537116.7060509,30.0,0.17700525003110198,1.582,"[1, 1, 4, 2, 2, 0, 2, 1, 0, 0, 1]"
1708006170.071024,30.0,0.1760010992625997,1.582,"[1, 1, 4, 2, 2, 1, 1, 0, 0, 1, 1]"
1704947850.9049647,30.0,0.1728917519301434,1.471,"[1, 1, 4, 2, 2, 2, 0, 0, 0, 0, 1]"
1672428505.3729453,30.0,0.17092368045370498,1.471,"[1, 1, 4, 2, 2, 1, 0, 1, 0, 0, 1]"
1659326443.4292212,30.0,0.16993964471548578,1.471,"[1, 1, 4, 2, 2, 1, 0, 0, 1, 0, 1]"
1648467846.5824296,30.0,0.16895560897726658,1.471,"[1, 1, 4, 2, 2, 1, 0, 0, 0, 1, 1]"
1631545004.8724105,30.0,0.16797827824914174,1.471,"[1, 1, 4, 2, 2, 0, 1, 0, 0, 1, 1]"
1628543897.160492,30.0,0.1648890459469686,1.36,"[1, 1, 4, 2, 2, 1, 0, 0, 0, 0, 1]"
1611621055.450473,30.0,0.16391171521884376,1.36,"[1, 1, 4, 2, 2, 0, 1, 0, 0, 0, 1]"
1593224339.466646,30.0,0.16294108950081332,1.36,"[1, 1, 4, 2, 1, 1, 1, 0, 0, 0, 1]"
1583848706.3677857,30.0,0.16195705376259412,1.36,"[1, 1, 4, 2, 2, 0, 0, 0, 1, 0, 1]"
1573210563.3410394,30.0,0.16097972303446928,1.36,"[1, 1, 4, 2, 2, 0, 0, 0, 0, 1, 1]"
1554813847.3572123,30.0,0.16000909731643884,1.36,"[1, 1, 4, 2, 1, 1, 0, 0, 0, 1, 1]"
1553689024.2207682,30.0,0.15693998004454898,1.249,"[1, 1, 4, 2, 2, 0, 0, 0, 0, 0, 1]"
1518715378.931072,30.0,0.1549987286084881,1.249,"[1, 1, 4, 2, 1, 0, 1, 0, 0, 0, 1]"
1504084396.7446022,30.0,0.15402810289045762,1.249,"[1, 1, 4, 2, 1, 0, 0, 1, 0, 0, 1]"
1484828575.678488,30.0,0.1530708871926159,1.249,"[1, 1, 4, 1, 2, 0, 0, 1, 0, 0, 1]"
1472254891.2202852,30.0,0.15210026147458547,1.249,"[1, 1, 4, 1, 2, 0, 0, 0, 1, 0, 1]"
1469830536.5138125,30.0,0.15210026147458544,1.249,"[1, 1, 4, 2, 0, 0, 1, 1, 0, 0, 1]"
1463071921.751795,30.0,0.15112293074646063,1.249,"[1, 1, 4, 2, 0, 1, 0, 0, 0, 1, 1]"
1461965434.7635164,30.0,0.14807392850485368,1.1380000000000001,"[1, 1, 4, 2, 1, 0, 0, 0, 0, 0, 1]"
1427711574.532727,30.0,0.14614608708898147,1.1380000000000001,"[1, 1, 4, 2, 0, 0, 1, 0, 0, 0, 1]"
1413381709.4385056,30.0,0.1451821663810454,1.1380000000000001,"[1, 1, 4, 2, 0, 0, 0, 1, 0, 0, 1]"
1401066801.2712345,30.0,0.14421824567310929,1.1380000000000001,"[1, 1, 4, 2, 0, 0, 0, 0, 1, 0, 1]"
1390860573.9180117,30.0,0.14325432496517318,1.1380000000000001,"[1, 1, 4, 2, 0, 0, 0, 0, 0, 1, 1]"
1372127526.7164545,30.0,0.1392682220560077,1.0270000000000001,"[1, 1, 4, 2, 0, 0, 0, 0, 0, 0, 1]"
1352871705.6503415,30.0,0.13831100635816584,1.0270000000000001,"[1, 1, 4, 1, 1, 0, 0, 0, 0, 0, 1]"
1335226996.5261593,30.0,0.13735379066032413,1.0270000000000001,"[1, 1, 4, 1, 0, 1, 0, 0, 0, 0, 1]"
1316372988.2222962,30.0,0.13640327997257679,1.027,"[1, 1, 4, 0, 1, 1, 0, 0, 0, 0, 1]"
1300473677.9306483,30.0,0.13544606427473505,1.027,"[1, 1, 4, 0, 1, 0, 1, 0, 0, 0, 1]"
1293235071.1075737,30.0,0.13448214356679897,1.0270000000000001,"[1, 1, 4, 1, 0, 0, 0, 0, 1, 0, 1]"
1283240346.8285518,30.0,0.13352492786895725,1.0270000000000001,"[1, 1, 4, 1, 0, 0, 0, 0, 0, 1, 1]"
1264893455.7064126,30.0,0.12956564500016965,0.916,"[1, 1, 4, 1, 0, 0, 0, 0, 0, 0, 1]"
